Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,164.270004,166.289993,164.220001,166.169998,165.287750,56976200
2023-04-04,166.600006,166.839996,165.110001,165.630005,164.750626,46278300
2023-04-05,164.740005,165.050003,161.800003,163.759995,162.890549,51511700
2023-04-06,162.429993,164.960007,162.000000,164.660004,163.785767,45390100
2023-04-10,161.419998,162.029999,160.080002,162.029999,161.169724,47716900
2023-04-11,162.350006,162.360001,160.509995,160.800003,159.946243,47644200
2023-04-12,161.220001,162.059998,159.779999,160.100006,159.249985,50133100
2023-04-13,161.630005,165.800003,161.419998,165.559998,164.681000,68445600
2023-04-14,164.589996,166.320007,163.820007,165.210007,164.332855,49386500
2023-04-17,165.089996,165.389999,164.029999,165.229996,164.352737,41516200
2023-04-18,166.100006,167.410004,165.649994,166.470001,165.586166,49923000
2023-04-19,165.800003,168.160004,165.539993,167.630005,166.739990,47720200
2023-04-20,166.089996,167.869995,165.559998,166.649994,165.765198,52456400
2023-04-21,165.050003,166.449997,164.490005,165.020004,164.143860,58337300
2023-04-24,165.000000,165.600006,163.889999,165.330002,164.452209,41949600
2023-04-25,165.190002,166.309998,163.729996,163.770004,162.900497,48714100
2023-04-26,163.059998,165.279999,162.800003,163.759995,162.890549,45498800
2023-04-27,165.190002,168.559998,165.190002,168.410004,167.515854,64902300
2023-04-28,168.490005,169.850006,167.880005,169.679993,168.779099,55209200
2023-05-01,169.279999,170.449997,168.639999,169.589996,168.689590,52472900
2023-05-02,170.089996,170.350006,167.539993,168.539993,167.645157,48425700
2023-05-03,169.500000,170.919998,167.160004,167.449997,166.560944,65136000
2023-05-04,164.889999,167.039993,164.309998,165.789993,164.909760,81235400
2023-05-05,170.979996,174.300003,170.759995,173.570007,172.648483,113316400
2023-05-08,172.479996,173.850006,172.110001,173.500000,172.578827,55962800
2023-05-09,173.050003,173.539993,171.600006,171.770004,170.858017,45326900
2023-05-10,173.020004,174.029999,171.899994,173.559998,172.638519,53724500
2023-05-11,173.850006,174.589996,172.169998,173.750000,172.827484,49514700
2023-05-12,173.619995,174.059998,171.000000,172.570007,171.891205,45497800
2023-05-15,173.160004,173.210007,171.470001,172.070007,171.393173,37266700
2023-05-16,171.990005,173.139999,171.800003,172.070007,171.393173,42110300
2023-05-17,171.710007,172.929993,170.419998,172.690002,172.010727,57951600
2023-05-18,173.000000,175.240005,172.580002,175.050003,174.361435,65496700
2023-05-19,176.389999,176.389999,174.940002,175.160004,174.471024,55772400
2023-05-22,173.979996,174.710007,173.449997,174.199997,173.514771,43570900
2023-05-23,173.130005,173.380005,171.279999,171.559998,170.885162,50747300
2023-05-24,171.089996,172.419998,170.520004,171.839996,171.164063,45143500
2023-05-25,172.410004,173.899994,171.690002,172.990005,172.309555,56058300
2023-05-26,173.320007,175.770004,173.110001,175.429993,174.739944,54835000
